Station,State,ID,Lat,Lon,Elev
Elkins,WV,KEKN,38.88,-79.85,609
Wheeling,WV,KHLG,40.18,-80.65,365
Huntington,WV,KHTS,38.37,-82.55,255
Lewisburg,WV,KLWB,37.87,-80.40,702
Morgantown,WV,KMGW,39.65,-79.92,380
Martinsburg,WV,KMRB,39.4,-77.98,170
Parkersburg,WV,KPKB,39.35,-81.43,262
Arlington,WY,KARL,41.71,-106.21,2194
Belle Fourche,WY,KBFU,43.93,-105.44,1432
Bitter Creek,WY,KBIT,41.64,-108.58,2176
Bordeaux,WY,KBRX,41.92,-104.94,1432
Beaver Rim,WY,KBVR,42.58,-108.28,2042
Chief Joseph,WY,KCHJ,44.75,-109.37,2529
Cemetery Separation,WY,KCMS,41.53,-109.46,1962
Continental Divide,WY,KCTD,41.71,-107.78,2145
Dead Horse,WY,KDHS,44.21,-106.10,1249
Deer Creek,WY,KDRC,42.83,-105.86,1554
First Divide,WY,KFIR,41.29,-110.77,2310
Gunbarrel,WY,KGUN,41.43,-104.34,1706
Hiland,WY,KHLD,43.09,-107.32,1859
I-25 Divide,WY,KIDV,43.94,-106.64,1542
Inyan Kara,WY,KIKA,44.29,-104.62,1328
Meeteese Rim,WY,KMTR,44.27,-108.87,1816
Pathfinder Hill,WY,KPAT,42.56,-106.85,1926
Piney Creek,WY,KPIN,44.53,-106.81,1402
Pumpkin Vine,WY,KPUM,41.05,-105.46,2438
Rim,WY,KRIM,43.1,-110.32,2310
Sage,WY,KSGE,41.79,-110.50,2371
Shute Creek,WY,KSHC,41.93,-109.96,2058
Sibley Peak,WY,KSIB,42.44,-105.03,1511
Skyline,WY,KSKL,41.13,-106.56,2468
Twenty Mile Hill,WY,KTMH,43.12,-106.33,1755
Vedauwoo,WY,KVDW,41.15,-105.40,2560
Whitaker,WY,KWTR,41.41,-104.87,1890
Torrington,WY,KTOR,42.06,-104.15,1282
Douglas,WY,KDGW,42.75,-105.38,1477
Big Piney,WY,KBPI,42.57,-110.10,2124
Cody,WY,KCOD,44.52,-109.02,1553
Casper,WY,KCPR,42.92,-106.47,1612
Cheyenne,WY,KCYS,41.15,-104.82,1872
Evanston,WY,KEVW,41.28,-111.03,2183
Gillette,WY,KGCC,44.35,-105.53,1230
Jackson,WY,KJAC,43.6,-110.73,1964
Laramie,WY,KLAR,41.32,-105.67,2218
Lander,WY,KLND,42.82,-108.73,1694
Yellowstone,WY,KP60,44.55,-110.42,2368
Riverton,WY,KRIW,43.07,-108.47,1684
Rock Springs,WY,KRKS,41.6,-109.07,2060
Rawlins,WY,KRWL,41.8,-107.20,2077
Sheridan,WY,KSHR,44.77,-106.97,1209
Worland,WY,KWRL,43.97,-107.95,1294
Buffalo,WY,KBYG,44.38,-106.72,1497
Greybull,WY,KGEY,44.52,-108.08,1191
Roosevelt Roads,PR,TJNR,18.25,-65.63,12
San Juan,PR,TJSJ,18.43,-66.00,19
Ponce,PR,TJPS,18.02,-66.57,9
Aquadilla,PR,TJBQ,18.5,-67.13,69
Mayaguez,PR,TJMZ,18.25,-67.15,9
St. Thomas,VI,TIST,18.33,-64.97,67
St. Croix,VI,TISX,17.7,-64.80,17
Beef Island,VI,TUPJ,18.43,-65.45,15
Agana,GU,PGUM,13.48,144.80,82
Andersen AFB,GU,PGUA,13.57,144.91,162
Rota,MP,PGRO,14.17,145.25,179
Saipan,MP,PGSN,15.12,145.72,4
Peipeinimaru,MP,PGWT,20.05,145.22,13
