ID,Lon,Lat
Raven,-162.03583,68.00997
Poktovik,-161.37511,68.03211
LittleIsac,-160.79722,67.94111
Uchugrak,-161.72593,68.05248
Shrub_Raven,-162.05,67.93
Shrub_Poktovik,-161.3,68.005
Shrub_LittleIsac,-160.5,67.92
Shrub_Uchugrak,-161.87,67.95
Gram_Raven,-162.10583,68.03248
Gram_Poktovik,-161.44511,68.09248
Gram_LittleIsac,-160.85722,68.04111
Gram_Uchugrak,-161.45511,68.10248
Fire_LakeWest,-159.35,68.15
Fire_LakeEast,-158.5, 68.05
